,victim_race,victim_age,victim_sex,city,state,lat,lon,disposition,reported_date_fixed
0,Hispanic,78,Male,Albuquerque,NM,35.0957885,-106.5385549,Closed without arrest,2010-05-04
1,Hispanic,17,Male,Albuquerque,NM,35.0568104,-106.715321,Closed by arrest,2010-02-16
2,White,15,Female,Albuquerque,NM,35.086092,-106.695568,Closed without arrest,2010-06-01
3,Hispanic,32,Male,Albuquerque,NM,35.0784929,-106.5560938,Closed by arrest,2010-01-01
4,White,72,Female,Albuquerque,NM,35.1303568,-106.5809862,Closed without arrest,2010-01-02
5,White,91,Female,Albuquerque,NM,35.15111,-106.537797,Open/No arrest,2010-01-26
6,Hispanic,52,Male,Albuquerque,NM,35.1117847,-106.7126144,Closed by arrest,2010-01-27
7,Hispanic,52,Female,Albuquerque,NM,35.1117847,-106.7126144,Closed by arrest,2010-01-27
8,White,56,Male,Albuquerque,NM,35.0753799,-106.5534583,Open/No arrest,2010-01-30
9,Hispanic,43,Male,Albuquerque,NM,35.0659296,-106.5722875,Open/No arrest,2010-02-10
10,Hispanic,20,Male,Albuquerque,NM,35.0773747,-106.5605695,Closed by arrest,2010-02-12
12,Hispanic,46,Male,Albuquerque,NM,35.0640762,-106.6082814,Open/No arrest,2010-02-22
13,Other,16,Male,Albuquerque,NM,35.0414912,-106.7421466,Closed by arrest,2010-03-06
14,Hispanic,54,Male,Albuquerque,NM,35.0706565,-106.6158449,Closed by arrest,2010-03-08
15,White,43,Female,Albuquerque,NM,35.0706565,-106.6158449,Closed by arrest,2010-03-08
16,Hispanic,52,Male,Albuquerque,NM,35.0790821,-106.4959493,Closed by arrest,2010-03-22
18,White,22,Female,Albuquerque,NM,35.1104043,-106.5236679,Closed by arrest,2010-04-02
19,Hispanic,49,Male,Albuquerque,NM,35.0895725,-106.5700776,Closed by arrest,2010-04-20
20,Black,15,Male,Albuquerque,NM,35.0958872,-106.6380811,Closed by arrest,2010-04-23
21,Black,25,Male,Albuquerque,NM,35.0958872,-106.6380811,Closed by arrest,2010-04-23
22,White,20,Male,Albuquerque,NM,35.0834013,-106.6329406,Closed by arrest,2010-05-18
23,Other,47,Male,Albuquerque,NM,35.1024226,-106.5676745,Closed by arrest,2010-06-02
24,White,88,Female,Albuquerque,NM,35.0959563,-106.5611352,Closed without arrest,2010-06-02
25,Hispanic,27,Female,Albuquerque,NM,35.0784617,-106.551755,Closed by arrest,2010-06-03
26,White,36,Female,Albuquerque,NM,35.0537478,-106.5317998,Closed without arrest,2010-07-12
27,White,47,Female,Albuquerque,NM,35.0537478,-106.5317998,Closed without arrest,2010-07-12
28,Asian,1,Female,Albuquerque,NM,35.0644563,-106.5244581,Closed without arrest,2010-07-26
29,Hispanic,58,Male,Albuquerque,NM,35.0618273,-106.749104,Open/No arrest,2010-07-28
